Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"GPIO[5]","OffPage","04 -Serializer","4","SCHEMATIC1","U6.8","194","522","5C","[3]"
"GPIO[5]","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.G9","1850","485","1C","[4]"
"H_DATA1","OffPage","04 -Serializer","4","SCHEMATIC1","U6.27","179","775","5B","[3]"
"H_DATA1","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.E8","1827","686","1C","[4]"
"H_DATA0","OffPage","04 -Serializer","4","SCHEMATIC1","U6.26","179","785","5B","[3]"
"H_DATA0","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.E9","1827","696","1C","[4]"
"H_DATA2","OffPage","04 -Serializer","4","SCHEMATIC1","U6.28","179","765","5B","[3]"
"H_DATA2","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.D9","1827","676","1C","[4]"
"H_DATA3","OffPage","04 -Serializer","4","SCHEMATIC1","U6.30","179","755","5B","[3]"
"H_DATA3","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.D8","1827","666","1C","[4]"
"H_DATA4","OffPage","04 -Serializer","4","SCHEMATIC1","U6.31","179","745","5B","[3]"
"H_DATA4","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.C9","1827","656","1C","[4]"
"H_DATA5","OffPage","04 -Serializer","4","SCHEMATIC1","U6.32","179","735","5C","[3]"
"H_DATA5","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.C8","1827","646","1C","[4]"
"H_DATA6","OffPage","04 -Serializer","4","SCHEMATIC1","U6.1","179","725","5C","[3]"
"H_DATA6","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.B9","1827","636","1C","[4]"
"H_DATA7","OffPage","04 -Serializer","4","SCHEMATIC1","U6.2","179","715","5C","[3]"
"H_DATA7","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.B8","1827","626","1C","[4]"
"SDATA","OffPage","04 -Serializer","4","SCHEMATIC1","R32.2,TP6.1,U6.23","195","500","5C","[3]"
"SDATA","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.B3","1850","465","1C","[4]"
"SCLK","OffPage","04 -Serializer","4","SCHEMATIC1","R31.2,TP5.1,U6.24","195","510","5C","[3]"
"SCLK","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.A3","1850","475","1C","[4]"
"H_VSYNC","OffPage","04 -Serializer","4","SCHEMATIC1","TP7.1,U6.11","179","805","5B","[3]"
"H_VSYNC","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.C7","1827","716","1C","[4]"
"H_DATA9","OffPage","04 -Serializer","4","SCHEMATIC1","U6.4","179","695","5C","[3]"
"H_DATA9","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.A8","1827","606","1C","[4]"
"H_DATA10","OffPage","04 -Serializer","4","SCHEMATIC1","U6.6","179","685","5C","[3]"
"H_DATA10","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.A7","1827","596","1C","[4]"
"H_DATA11","OffPage","04 -Serializer","4","SCHEMATIC1","U6.7","179","675","5C","[3]"
"H_DATA11","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.B7","1827","586","1C","[4]"
"H_HSYNC","OffPage","04 -Serializer","4","SCHEMATIC1","TP8.1,U6.10","179","815","5B","[3]"
"H_HSYNC","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.D7","1827","726","1C","[4]"
"H_FRAME_SYNC","OffPage","04 -Serializer","4","SCHEMATIC1","R25.2,R26.1","179","825","5B","[3]"
"H_FRAME_SYNC","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.H7","1827","736","1C","[4]"
"H_PIXCLK","OffPage","04 -Serializer","4","SCHEMATIC1","TP9.1,U6.25","179","795","5B","[3]"
"H_PIXCLK","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","C13.1,R10.1","1827","706","1C","[4]"
"H_DATA8","OffPage","04 -Serializer","4","SCHEMATIC1","U6.3","179","705","5C","[3]"
"H_DATA8","OffPage","03 -ISP & Sensor","3","SCHEMATIC1","U3.A9","1827","616","1C","[4]"
